Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange
Eastman Kodak WT, KODK%A, 0.44, 0.44, 0.2, 0.28, 0.13, 86.67, 12585, 3.15, 0.0, 0.0, 0.0, 0.0, 2645.1, NYSE
Affimed, AFMD, 1.9, 2.85, 1.85, 2.65, 0.78, 41.33, 7275882, 2.95, 1.15, 0.0, 0.0, 0.0, 103.85, NASDAQ Global
Cytori Therapeutics WT, CYTXW, 0.04, 0.04, 0.04, 0.04, 0.01, 33.0, 1000, 0.8, 0.01, 0.0, 0.0, 0.0, 262.73, NASDAQ Capital
Check-Cap WT, CHEKW, 0.29, 0.29, 0.29, 0.29, 0.07, 30.0, 100, 1.61, 0.15, 0.0, 0.0, 0.0, 58.89, NASDAQ Capital
LM Funding America WT, LMFAW, 0.1, 0.13, 0.07, 0.13, 0.03, 30.0, 10310, 0.47, 0.02, 0.0, 0.0, 0.0, 235.92, NASDAQ Capital
Jason Industries WT, JASNW, 0.01, 0.02, 0.01, 0.02, 0.0, 25.16, 4122, 0.19, 0.01, 0.0, 0.0, 0.0, -13.48, NASDAQ Capital
TOP Ships, TOPS, 0.29, 0.35, 0.22, 0.25, 0.05, 22.62, 69514784, 89100.0, 0.18, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital
Oxbridge Re Holdings WT, OXBRW, 0.13, 0.16, 0.09, 0.16, 0.03, 20.38, 5494, 0.7, 0.06, 0.0, 0.0, 0.0, 56.5, NASDAQ Capital
Innovate Biopharmaceuticals WT, INNTW, 0.15, 0.16, 0.14, 0.16, 0.03, 20.24, 4701, 0.45, 0.01, 0.0, 0.0, 0.0, -68.52, NASDAQ Capital
Northern Dynasty Minerals, NAK, 0.84, 1.05, 0.82, 1.03, 0.17, 19.89, 6118728, 3.41, 0.81, 0.0, 0.0, 0.0, -41.81, NYSE American
Oragenics, OGEN, 2.26, 3.1, 2.23, 2.7, 0.44, 19.47, 177988, 8.5, 0.6, 0.0, 0.0, 0.0, 14.94, NYSE American
Arcturus Therapeutics, ARCT, 5.98, 7.21, 5.98, 6.83, 0.9, 15.18, 97199, 15.19, 5.78, 0.0, 0.0, 0.0, -14.09, NASDAQ Global
Jaguar Health, JAGX, 0.19, 0.2, 0.16, 0.17, 0.02, 14.19, 38281441, 1.52, 0.11, 0.0, 0.0, 0.0, 20.85, NASDAQ Capital
Second Sight Medical Products WT, EYESW, 0.98, 1.05, 0.9, 0.95, 0.11, 13.2, 43056, 1.05, 0.26, 0.0, 0.0, 0.0, 13.2, NASDAQ Capital
Lianluo Smart, LLIT, 2.08, 2.38, 2.08, 2.34, 0.27, 13.04, 309026, 2.38, 1.05, 0.0, 0.0, 0.0, 33.45, NASDAQ Capital
Second Sight Medical Products, EYES, 2.14, 2.58, 2.1, 2.31, 0.26, 12.68, 8520726, 2.83, 0.9, 0.0, 0.0, 0.0, 20.94, NASDAQ Capital
Coda Octopus Group, CODA, 4.62, 5.47, 4.5, 5.23, 0.58, 12.47, 34428, 7.0, 3.8, 0.0, 0.0, 14.53, 9.6, NASDAQ Capital
Eastman Kodak Co. WT 125%, KODK%, 0.48, 0.48, 0.28, 0.28, 0.03, 12.0, 19830, 3.3, 0.01, 0.0, 0.0, 0.0, 5183.02, NYSE
BioPharmX, BPMX, 0.18, 0.21, 0.16, 0.18, 0.02, 11.3, 41720087, 0.9, 0.1, 0.0, 0.0, 0.0, 62.7, NYSE American
Aytu BioScience, AYTU, 2.68, 3.23, 2.67, 2.94, 0.29, 10.94, 115454, 6.82, 0.17, 0.0, 0.0, 0.0, 31.84, NASDAQ Capital
ACM Research Cl A, ACMR, 6.19, 6.83, 6.18, 6.75, 0.64, 10.47, 64811, 8.48, 4.74, 0.0, 0.0, 0.0, 28.57, NASDAQ Global
GRAVITY ADR, GRVY, 68.11, 76.04, 67.0, 75.0, 6.89, 10.12, 90782, 99.0, 13.18, 0.0, 0.0, 33.29, -20.63, NASDAQ Capital
Comstock Holding Cl A, CHCI, 1.29, 2.1, 1.27, 1.44, 0.13, 9.92, 1584586, 3.9, 1.2, 0.0, 0.0, 0.0, -15.29, NASDAQ Capital
ARMO Biosciences, ARMO, 33.62, 38.8, 32.85, 36.5, 3.18, 9.54, 292017, 38.8, 27.0, 0.0, 0.0, 0.0, 22.73, NASDAQ Global
Apollo Medical Holdings, AMEH, 17.94, 20.0, 17.5, 19.7, 1.7, 9.44, 35889, 30.0, 5.5, 0.0, 0.0, 0.0, -17.92, NASDAQ Capital
Cerecor, CERC, 3.0, 3.3, 2.83, 3.27, 0.27, 9.0, 172181, 4.25, 0.34, 0.0, 0.0, 327.0, 2.19, NASDAQ Capital
ReTo Eco-Solutions, RETO, 9.18, 10.39, 9.18, 10.19, 0.82, 8.75, 93808, 12.75, 5.94, 0.0, 0.0, 51.26, 44.54, NASDAQ Capital
Anavex Life Sciences, AVXL, 2.62, 2.94, 2.51, 2.8, 0.21, 8.11, 454541, 6.64, 2.51, 0.0, 0.0, 0.0, -13.04, NASDAQ Capital
Co-Diagnostics, CODX, 2.72, 2.86, 2.52, 2.77, 0.2, 7.78, 8830, 6.85, 2.35, 0.0, 0.0, 0.0, 4.92, NASDAQ Capital
Jones Energy Cl A, JONE, 1.17, 1.29, 1.08, 1.26, 0.09, 7.69, 1055095, 4.41, 0.73, 0.0, 0.0, 0.0, 14.55, NYSE
JRjr33, JRJR, 0.18, 0.22, 0.17, 0.19, 0.01, 7.38, 2188861, 0.84, 0.16, 0.0, 0.0, 0.0, 1.41, NYSE American
Sonoma Pharmaceuticals WT, SNOAW, 0.44, 0.46, 0.44, 0.46, 0.03, 7.14, 22564, 0.79, 0.25, 0.0, 0.0, 0.0, 12.68, NASDAQ Capital
CGG ADR, CGG, 5.36, 5.88, 5.28, 5.72, 0.38, 7.12, 28796, 10.51, 3.26, 0.0, 0.0, 0.0, 28.02, NYSE
Sigma Labs WT, SGLBW, 0.36, 0.4, 0.35, 0.4, 0.03, 7.08, 8500, 1.5, 0.16, 0.0, 0.0, 0.0, -17.46, NASDAQ Capital
Arsanis, ASNS, 12.39, 13.2, 12.33, 13.2, 0.87, 7.06, 7785, 19.73, 10.4, 0.0, 0.0, 0.0, 3.45, NASDAQ Global
Jewett-Cameron Trading, JCTCF, 15.0, 15.0, 15.0, 15.0, 0.97, 6.89, 512, 17.9, 10.8, 0.0, 0.0, 13.27, 0.0, NASDAQ Capital
Hamilton Bancorp, HBK, 15.99, 15.99, 15.7, 15.75, 0.99, 6.74, 6033, 15.99, 14.0, 0.0, 0.0, 0.0, 2.27, NASDAQ Capital
Purple Innovation, PRPL, 9.7, 10.75, 9.7, 10.56, 0.66, 6.71, 5252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital
Bridgford Foods, BRID, 18.0, 18.0, 16.54, 17.6, 1.1, 6.67, 81933, 18.0, 10.76, 0.0, 0.0, 18.11, 40.24, NASDAQ Global
Veru, VERU, 1.21, 1.32, 1.18, 1.31, 0.08, 6.51, 68111, 3.0, 0.9, 0.0, 0.0, 0.0, 14.92, NASDAQ Capital
Natural Grocers by Vitamin Cottage, NGVC, 6.61, 7.5, 6.61, 7.02, 0.41, 6.2, 345191, 12.65, 4.79, 0.0, 0.0, 15.6, -21.39, NYSE
Newater Technology, NEWA, 11.15, 12.04, 10.94, 11.8, 0.67, 6.02, 78537, 21.0, 7.32, 0.0, 0.0, 0.0, 25.67, NASDAQ Capital
OncoSec Medical, ONCS, 1.65, 1.77, 1.63, 1.76, 0.1, 6.02, 919039, 2.95, 0.88, 0.0, 0.0, 0.0, 8.31, NASDAQ Capital
China Lending, CLDC, 2.22, 2.47, 2.13, 2.35, 0.13, 5.86, 43248, 8.3, 2.0, 0.0, 0.0, 0.0, -24.44, NASDAQ Capital
Essa Pharma, EPIX, 0.21, 0.24, 0.21, 0.22, 0.01, 5.8, 326128, 3.59, 0.15, 0.0, 0.0, 0.0, -0.14, NASDAQ Capital
Galectin Therapeutics, GALT, 3.79, 4.35, 3.76, 4.13, 0.23, 5.76, 492714, 6.74, 1.01, 0.0, 0.0, 0.0, 23.65, NASDAQ Capital
Sonic Foundry, SOFO, 2.54, 2.77, 2.45, 2.69, 0.14, 5.49, 5079, 5.35, 2.05, 0.0, 0.0, 0.0, -10.63, NASDAQ Capital
Stellar Acquisition III WT, STLRW, 0.43, 0.49, 0.43, 0.47, 0.02, 5.49, 1500, 0.64, 0.21, 0.0, 0.0, 0.0, 50.53, NASDAQ Capital
Camber Energy, CEI, 0.12, 0.14, 0.12, 0.13, 0.01, 5.35, 13131375, 1.09, 0.1, 0.0, 0.0, 0.0, 4.75, NYSE American
Viking Therapeutics WT, VKTXW, 4.7, 5.13, 4.0, 4.94, 0.25, 5.33, 147606, 5.13, 0.21, 0.0, 0.0, 0.0, 95.26, NASDAQ Capital
China Southern Airlines ADR, ZNH, 67.94, 68.93, 66.0, 66.66, 3.35, 5.29, 114256, 68.93, 27.83, 0.73, 1.1, 15.72, 28.64, NYSE
Babcock&Wilcox Enterprises, BW, 5.65, 6.08, 5.38, 6.05, 0.3, 5.22, 2524021, 17.31, 1.61, 0.0, 0.0, 0.0, 6.51, NYSE
Inspired Entertainment, INSE, 5.7, 6.25, 5.7, 6.05, 0.3, 5.22, 148889, 14.0, 5.7, 0.0, 0.0, 0.0, -38.27, NASDAQ Capital
Dover Motorsports, DVD, 2.0, 2.05, 2.0, 2.05, 0.1, 5.13, 4074, 2.45, 1.8, 0.08, 3.9, 9.32, 5.13, NYSE
Yatra Online, YTRA, 6.7, 7.22, 6.7, 7.01, 0.34, 5.1, 368687, 12.85, 6.44, 0.0, 0.0, 0.0, -6.28, NASDAQ Capital
Gold Standard Ventures, GSV, 1.64, 1.72, 1.6, 1.69, 0.08, 4.97, 1215912, 2.95, 1.25, 0.0, 0.0, 0.0, -3.43, NYSE American
CounterPath, CPAH, 3.98, 4.26, 3.91, 4.25, 0.2, 4.94, 62708, 7.3, 1.75, 0.0, 0.0, 0.0, 32.4, NASDAQ Capital
Catalyst Biosciences, CBIO, 25.63, 27.95, 25.0, 26.51, 1.24, 4.91, 521772, 27.95, 3.11, 0.0, 0.0, 0.0, 94.35, NASDAQ Capital
Ideal Power, IPWR, 1.21, 1.39, 1.2, 1.29, 0.06, 4.88, 1037250, 3.59, 1.1, 0.0, 0.0, 0.0, -9.15, NASDAQ Capital
Professional Diversity Network, IPDN, 3.66, 4.4, 3.6, 3.89, 0.18, 4.85, 197202, 13.9, 2.45, 0.0, 0.0, 0.0, -4.89, NASDAQ Capital
Harmony Gold Mining ADR, HMY, 1.66, 1.78, 1.64, 1.75, 0.08, 4.79, 5272621, 2.99, 1.56, 0.05, 3.01, 46.67, -6.42, NYSE
National Holdings, NHLD, 3.6, 3.92, 3.53, 3.73, 0.17, 4.78, 104762, 6.26, 2.08, 0.0, 0.0, 3.74, 13.03, NASDAQ Capital
McEwen Mining, MUX, 2.13, 2.23, 2.11, 2.21, 0.1, 4.74, 3803088, 4.43, 1.82, 0.0, 0.0, 0.0, -3.07, NYSE
Klondex Mines, KLDX, 1.95, 2.07, 1.91, 2.04, 0.09, 4.62, 1456564, 5.91, 1.61, 0.0, 0.0, 0.0, -21.84, NYSE American
Vista Gold, VGZ, 0.76, 0.83, 0.75, 0.81, 0.04, 4.62, 377319, 1.24, 0.6, 0.0, 0.0, 0.0, 15.07, NYSE American
TrovaGene, TROV, 0.34, 0.39, 0.3, 0.31, 0.01, 4.55, 6479968, 2.25, 0.23, 0.0, 0.0, 0.0, 0.94, NASDAQ Capital
Alexco Resource, AXU, 1.34, 1.43, 1.32, 1.41, 0.06, 4.44, 392910, 2.02, 1.1, 0.0, 0.0, 0.0, -11.32, NYSE American
Delta Apparel, DLA, 17.47, 18.46, 17.4, 17.77, 0.73, 4.28, 29043, 23.47, 15.55, 0.0, 0.0, 13.26, -12.03, NYSE American
Borqs Technologies, BRQS, 7.5, 7.5, 7.22, 7.4, 0.3, 4.23, 4596, 10.5, 4.0, 0.0, 0.0, 0.0, 35.78, NASDAQ Capital
International Tower Hill Mines, THM, 0.47, 0.5, 0.47, 0.5, 0.02, 4.17, 152642, 0.77, 0.29, 0.0, 0.0, 0.0, 16.28, NYSE American
FAT Brands, FAT, 8.0, 10.0, 8.0, 8.52, 0.34, 4.16, 13456, 13.99, 7.52, 0.0, 0.0, 0.0, -4.48, NASDAQ Capital
Aspen Group, ASPU, 7.56, 8.2, 7.56, 7.96, 0.31, 4.12, 45310, 9.61, 5.35, 0.0, 0.0, 0.0, -10.71, NASDAQ Capital
InnSuites Hospitality Trust, IHT, 1.82, 1.82, 1.82, 1.82, 0.07, 4.03, 3559, 2.27, 1.23, 0.02, 1.1, 0.0, 4.03, NYSE American
Trilogy Metals, TMQ, 1.23, 1.31, 1.21, 1.29, 0.05, 4.03, 199655, 1.64, 0.45, 0.0, 0.0, 0.0, 18.35, NYSE American
Streamline Health Solutions, STRM, 1.73, 1.82, 1.72, 1.82, 0.07, 4.0, 61715, 2.82, 0.85, 0.0, 0.0, 0.0, 7.69, NASDAQ Capital
StoneMor Partners, STON, 4.96, 5.23, 4.95, 5.21, 0.2, 3.99, 337227, 11.45, 4.61, 0.0, 0.0, 0.0, -20.58, NYSE
TapImmune, TPIV, 3.5, 3.93, 3.5, 3.67, 0.14, 3.97, 68275, 5.35, 2.6, 0.0, 0.0, 0.0, -6.38, NASDAQ Capital
Cellectar Biosciences WT, CLRBW, 0.1, 0.1, 0.1, 0.1, 0.0, 3.9, 400, 0.45, 0.1, 0.0, 0.0, 0.0, 3.9, NASDAQ Capital
MAG Silver, MAG, 10.15, 10.68, 10.15, 10.57, 0.39, 3.83, 441134, 16.78, 10.05, 0.0, 0.0, 0.0, -14.48, NYSE American
Luna Innovations, LUNA, 2.1, 2.22, 2.08, 2.2, 0.08, 3.77, 104507, 2.8, 1.16, 0.0, 0.0, 5.12, -9.47, NASDAQ Capital
American Electric Technologies, AETI, 1.35, 1.4, 1.35, 1.4, 0.05, 3.7, 4586, 2.8, 1.3, 0.0, 0.0, 0.0, -6.67, NASDAQ Capital
Industrial Services of America, IDSA, 1.97, 2.08, 1.88, 2.01, 0.07, 3.61, 44717, 2.64, 0.96, 0.0, 0.0, 0.0, 22.58, NASDAQ Capital
Ikonics, IKNX, 8.05, 8.34, 8.34, 8.34, 0.29, 3.6, 223, 11.0, 7.34, 0.0, 0.0, 0.0, 10.9, NASDAQ Capital
Tecogen, TGEN, 2.11, 2.34, 2.11, 2.34, 0.08, 3.54, 17910, 4.17, 2.05, 0.0, 0.0, 0.0, -13.33, NASDAQ Capital
Aethlon Medical, AEMD, 1.36, 1.49, 1.33, 1.42, 0.05, 3.53, 438837, 5.17, 0.79, 0.0, 0.0, 0.0, 25.52, NASDAQ Capital
Bellerophon Therapeutics, BLPH, 2.25, 2.39, 2.03, 2.35, 0.08, 3.52, 309036, 2.74, 0.64, 0.0, 0.0, 0.0, -8.91, NASDAQ Global
MiX Telematics ADR, MIXT, 13.5, 13.99, 13.27, 13.74, 0.46, 3.46, 97358, 13.99, 5.59, 0.21, 1.51, 34.99, 7.68, NYSE
Resolute Energy, REN, 32.25, 35.61, 32.2, 33.6, 1.12, 3.45, 1020319, 49.14, 23.64, 0.0, 0.0, 0.0, 6.77, NYSE
Wheeler Real Estate Investment Trust WT, WHLRW, 0.03, 0.03, 0.03, 0.03, 0.0, 3.45, 381, 0.72, 0.01, 0.0, 0.0, 0.0, -21.51, NASDAQ Capital
Polymet Mining, PLM, 1.18, 1.25, 1.15, 1.22, 0.04, 3.39, 1117609, 1.36, 0.57, 0.0, 0.0, 0.0, 41.86, NYSE American
Ur-Energy, URG, 0.68, 0.69, 0.65, 0.69, 0.02, 3.37, 557561, 0.91, 0.5, 0.0, 0.0, 20.23, 0.94, NYSE American
Bio-Path Holdings, BPTH, 0.19, 0.2, 0.18, 0.2, 0.01, 3.34, 913114, 1.01, 0.18, 0.0, 0.0, 0.0, -3.65, NASDAQ Capital
Moxian, MOXC, 3.48, 3.48, 3.4, 3.48, 0.11, 3.26, 8702, 4.16, 2.0, 0.0, 0.0, 0.0, -9.61, NASDAQ Capital
Bonso Electronics International, BNSO, 3.4, 3.53, 3.33, 3.51, 0.11, 3.24, 43092, 3.68, 1.96, 0.0, 0.0, 6.62, 43.27, NASDAQ Capital
Guess?, GES, 14.47, 15.52, 14.17, 15.08, 0.47, 3.22, 2766510, 19.62, 9.56, 0.9, 5.97, 0.0, -10.66, NYSE
Pretium Resources, PVG, 6.61, 6.87, 6.57, 6.8, 0.21, 3.19, 2766678, 12.53, 6.47, 0.0, 0.0, 0.0, -40.4, NYSE
DLH Holdings, DLHC, 5.85, 6.19, 5.76, 6.18, 0.19, 3.17, 4100, 6.83, 4.1, 0.0, 0.0, 22.89, 0.32, NASDAQ Capital
Axovant Sciences, AXON, 1.9, 2.11, 1.89, 1.98, 0.06, 3.13, 2275505, 27.98, 1.88, 0.0, 0.0, 0.0, -62.43, NASDAQ Global
Aralez Pharmaceuticals, ARLZ, 1.73, 1.82, 1.67, 1.72, 0.05, 2.99, 990134, 4.65, 0.95, 0.0, 0.0, 0.0, 21.13, NASDAQ Global
Dover Downs Gaming&Entertainment, DDE, 1.35, 1.46, 1.35, 1.39, 0.04, 2.96, 60259, 1.79, 0.92, 0.08, 5.76, 0.0, 36.27, NYSE
My Size, MYSZ, 1.75, 1.82, 1.65, 1.74, 0.05, 2.96, 2537049, 16.7, 0.57, 0.0, 0.0, 0.0, 168.56, NASDAQ Capital
Interlink Electronics, LINK, 5.27, 5.8, 5.15, 5.25, 0.15, 2.94, 8188, 10.29, 4.89, 0.0, 0.0, 18.1, 0.57, NASDAQ Capital
Bunge, BG, 82.5, 83.2, 80.89, 80.89, 2.29, 2.91, 5280407, 83.75, 63.87, 1.84, 2.27, 25.71, 20.59, NYSE
Mirati Therapeutics, MRTX, 25.55, 27.8, 25.05, 27.0, 0.75, 2.86, 610586, 28.0, 2.7, 0.0, 0.0, 0.0, 47.95, NASDAQ Capital
Exela Technologies, XELA, 5.25, 5.53, 5.15, 5.41, 0.15, 2.85, 74795, 10.15, 4.37, 0.0, 0.0, 0.0, 5.05, NASDAQ Capital
ContraFect, CFRX, 1.4, 1.48, 1.36, 1.45, 0.04, 2.84, 201696, 2.5, 0.8, 0.0, 0.0, 0.0, 43.56, NASDAQ Capital
Hecla Mining, HL, 3.58, 3.78, 3.58, 3.68, 0.1, 2.79, 7927217, 6.78, 3.43, 0.01, 0.27, 58.23, -7.3, NYSE
Aviragen Therapeutics, AVIR, 0.6, 0.67, 0.59, 0.63, 0.02, 2.79, 555773, 1.21, 0.43, 0.0, 0.0, 0.0, 10.72, NASDAQ Capital
Vermillion, VRML, 1.45, 1.6, 1.45, 1.49, 0.04, 2.76, 200850, 2.85, 1.03, 0.0, 0.0, 0.0, -22.8, NASDAQ Capital
Kirby, KEX, 75.25, 80.9, 74.5, 77.75, 2.05, 2.71, 1495520, 80.9, 59.25, 0.0, 0.0, 14.38, 16.39, NYSE
Amyris, AMRS, 5.11, 5.11, 4.81, 5.01, 0.13, 2.66, 326540, 10.71, 1.86, 0.0, 0.0, 0.0, 33.6, NASDAQ Global
Fuling Global, FORK, 3.95, 4.0, 3.8, 3.95, 0.1, 2.6, 322573, 6.0, 2.65, 0.0, 0.0, 11.29, 0.0, NASDAQ Capital
Checkpoint Therapeutics, CKPT, 4.25, 4.37, 4.2, 4.37, 0.11, 2.58, 16066, 15.0, 3.2, 0.0, 0.0, 0.0, 12.63, NASDAQ Capital
Altimmune, ALT, 1.56, 1.68, 1.52, 1.6, 0.04, 2.56, 154850, 14.7, 1.51, 0.0, 0.0, 0.62, -19.6, NASDAQ Global
CAS Medical Systems, CASM, 1.21, 1.22, 1.15, 1.22, 0.03, 2.52, 25416, 1.63, 0.59, 0.0, 0.0, 0.0, 58.46, NASDAQ Capital
Arcimoto, FUV, 3.25, 3.25, 3.09, 3.24, 0.08, 2.5, 5518, 6.35, 2.54, 0.0, 0.0, 0.0, -19.23, NASDAQ Capital
ION Geophysical, IO, 17.9, 19.45, 17.8, 18.65, 0.45, 2.47, 171425, 24.2, 3.2, 0.0, 0.0, 0.0, -5.57, NYSE
Resonant, RESN, 4.81, 5.08, 4.81, 5.01, 0.12, 2.45, 147211, 8.55, 3.82, 0.0, 0.0, 0.0, -32.93, NASDAQ Capital
KBL Merger IV WT, KBLMW, 0.21, 0.21, 0.21, 0.21, 0.01, 2.44, 100, 0.28, 0.15, 0.0, 0.0, 0.0, 6.6, NASDAQ Capital
Immune Pharmaceuticals, IMNP, 0.5, 0.5, 0.48, 0.48, 0.01, 2.42, 1415816, 5.02, 0.4, 0.0, 0.0, 0.0, -15.39, NASDAQ Capital
GasLog Partners, GLOP, 23.2, 24.68, 23.05, 23.75, 0.55, 2.37, 385158, 25.55, 21.8, 2.09, 8.82, 10.46, -4.04, NYSE
Church&Dwight, CHD, 46.62, 48.79, 46.62, 47.42, 1.09, 2.35, 4815818, 54.18, 43.21, 0.76, 1.6, 27.25, -5.48, NYSE
Highway Holdings, HIHO, 4.22, 4.4, 4.15, 4.35, 0.1, 2.35, 33847, 4.5, 3.1, 0.24, 5.52, 17.4, 3.57, NASDAQ Capital
Fauquier Bankshares, FBSS, 21.99, 22.0, 21.99, 22.0, 0.5, 2.33, 1052, 22.25, 16.37, 0.48, 2.18, 21.68, 0.46, NASDAQ Capital
Cleveland BioLabs, CBLI, 3.46, 3.5, 3.43, 3.49, 0.08, 2.32, 4986, 5.55, 1.35, 0.0, 0.0, 0.0, -12.99, NASDAQ Capital
Xerium Technologies, XRM, 4.3, 4.56, 4.24, 4.43, 0.1, 2.31, 28783, 7.75, 3.7, 0.0, 0.0, 0.0, 3.99, NYSE
Coeur Mining, CDE, 7.85, 8.16, 7.78, 8.03, 0.18, 2.29, 3812424, 12.09, 6.71, 0.0, 0.0, 0.0, 7.07, NYSE
Sharps Compliance, SMED, 4.4, 4.53, 4.39, 4.52, 0.1, 2.26, 53281, 5.73, 3.74, 0.0, 0.0, 307.48, 10.51, NASDAQ Capital
NovaGold Resources, NG, 3.61, 3.77, 3.59, 3.71, 0.08, 2.2, 2271971, 6.21, 3.35, 0.0, 0.0, 0.0, -5.6, NYSE American
Sino-Global Shipping America, SINO, 2.38, 2.43, 2.26, 2.33, 0.05, 2.19, 75120, 5.5, 2.13, 0.0, 0.0, 5.99, -8.98, NASDAQ Capital
Gold Fields ADR, GFI, 4.13, 4.28, 4.07, 4.24, 0.09, 2.17, 5350820, 4.7, 2.86, 0.06, 1.46, 33.28, -1.4, NYSE
CARBO Ceramics, CRR, 7.3, 7.74, 7.18, 7.59, 0.16, 2.15, 894898, 16.7, 5.83, 0.0, 0.0, 0.0, -25.44, NYSE
Celsius Holdings, CELH, 5.67, 5.89, 5.63, 5.81, 0.12, 2.11, 67069, 7.0, 3.15, 0.0, 0.0, 0.0, 10.67, NASDAQ Capital
Truett-Hurst Cl A, THST, 1.91, 1.97, 1.91, 1.94, 0.04, 2.11, 14784, 2.68, 1.65, 0.0, 0.0, 0.0, -6.28, NASDAQ Capital
United States Short Oil Fd, DNO, 52.32, 53.39, 52.32, 53.35, 1.07, 2.04, 4619, 81.0, 51.37, 0.0, 0.0, 0.0, -6.06, NYSE
Comstock Resources, CRK, 8.18, 9.06, 8.01, 8.62, 0.17, 2.01, 1013679, 12.75, 4.01, 0.0, 0.0, 0.0, 1.89, NYSE
Ooma, OOMA, 9.95, 10.6, 9.95, 10.25, 0.2, 1.99, 82831, 12.75, 7.3, 0.0, 0.0, 0.0, -14.23, NYSE
Nevsun Resources, NSU, 2.03, 2.08, 2.0, 2.06, 0.04, 1.98, 982310, 3.27, 1.96, 0.04, 1.94, 0.0, -15.57, NYSE American
Acasti Pharma, ACST, 1.01, 1.09, 1.0, 1.04, 0.02, 1.96, 286206, 3.36, 0.84, 0.0, 0.0, 0.0, 10.31, NASDAQ Capital
Wilhelmina International, WHLM, 6.41, 6.55, 6.4, 6.55, 0.12, 1.87, 10870, 8.73, 5.67, 0.0, 0.0, 0.0, 1.24, NASDAQ Capital
Air T, AIRT, 28.65, 29.59, 27.5, 29.55, 0.54, 1.86, 2767, 34.83, 14.4, 0.0, 0.0, 21.26, 19.67, NASDAQ Capital
Gold Resource, GORO, 4.26, 4.44, 4.2, 4.37, 0.08, 1.86, 374686, 6.27, 3.08, 0.02, 0.46, 36.42, -0.68, NYSE American
New Concept Energy, GBR, 1.58, 1.64, 1.54, 1.64, 0.03, 1.86, 39915, 3.79, 1.0, 0.0, 0.0, 0.0, 5.21, NYSE American
Concord Medical Services Holdings ADR, CCM, 2.7, 2.78, 2.7, 2.75, 0.05, 1.85, 2304, 4.96, 2.56, 0.0, 0.0, 0.0, -17.42, NYSE
Evolving Systems, EVOL, 5.25, 5.55, 5.25, 5.5, 0.1, 1.85, 36359, 5.85, 4.0, 0.44, 8.0, 16.18, 17.02, NASDAQ Capital
PAVmed, PAVM, 1.62, 1.66, 1.6, 1.65, 0.03, 1.85, 68328, 9.31, 1.59, 0.0, 0.0, 0.0, -27.8, NASDAQ Capital
Wireless Telecom Group, WTT, 2.22, 2.29, 2.18, 2.26, 0.04, 1.8, 78042, 2.64, 1.3, 0.0, 0.0, 0.0, -7.0, NYSE American
Novume Solutions, NVMM, 3.96, 4.0, 3.7, 3.99, 0.07, 1.79, 2944, 5.5, 0.51, 0.0, 0.0, 0.0, -18.57, NASDAQ Capital
Citius Pharmaceuticals, CTXR, 4.02, 4.11, 3.76, 4.0, 0.07, 1.78, 27916, 14.63, 2.56, 0.0, 0.0, 0.0, 5.26, NASDAQ Capital
CTI BioPharma, CTIC, 2.7, 3.2, 2.48, 2.88, 0.05, 1.77, 914758, 4.9, 2.45, 0.0, 0.0, 0.0, 7.46, NASDAQ Capital
SGOCO Group, SGOC, 1.14, 1.25, 1.14, 1.16, 0.02, 1.77, 103785, 3.7, 0.9, 0.0, 0.0, 0.0, 9.45, NASDAQ Capital
Fortuna Silver Mines, FSM, 4.56, 4.68, 4.51, 4.64, 0.08, 1.75, 1337765, 6.87, 4.03, 0.0, 0.0, 19.91, -11.11, NYSE
Condor Hospitality Trust, CDOR, 9.75, 10.04, 9.75, 9.9, 0.17, 1.75, 10692, 15.47, 8.13, 0.78, 7.88, 0.0, -0.5, NYSE American
Apptio Cl A, APTI, 25.6, 26.94, 25.52, 26.37, 0.45, 1.74, 1184022, 26.94, 10.77, 0.0, 0.0, 0.0, 12.12, NASDAQ Global
Inuvo, INUV, 0.82, 0.88, 0.82, 0.84, 0.01, 1.74, 93133, 1.74, 0.7, 0.0, 0.0, 0.0, 3.7, NYSE American
TG Therapeutics, TGTX, 11.7, 12.53, 11.6, 12.0, 0.2, 1.69, 4587831, 15.35, 4.5, 0.0, 0.0, 0.0, 46.34, NASDAQ Capital
Pangaea Logistics Solutions, PANL, 2.35, 2.44, 2.32, 2.42, 0.04, 1.68, 14744, 8.4, 2.14, 0.0, 0.0, 29.51, -34.24, NASDAQ Capital
Idera Pharmaceuticals, IDRA, 1.8, 1.9, 1.79, 1.83, 0.03, 1.67, 2453405, 2.87, 1.32, 0.0, 0.0, 0.0, -13.27, NASDAQ Capital
TPG Pace Holdings, TPGHU, 10.25, 10.42, 10.25, 10.42, 0.17, 1.66, 700, 11.0, 10.1, 0.0, 0.0, 0.0, 0.68, NYSE
Great Panther Silver, GPL, 1.2, 1.23, 1.15, 1.23, 0.02, 1.65, 1043614, 2.28, 1.06, 0.0, 0.0, 112.84, -4.65, NYSE American
